waist_unit;waist;weight;weight_unit;height;height_unit;alcohol_status;diabetes_status;sbp;dbp;alt_unit;alt;ast_unit;ast;tg_unit;tg;hba1c_unit;hba1c;glu_unit;fasting_glu;ins_unit;fasting_ins
cm;;;kg;;cm;;;;;U/L;;U/L;;mmol/L;;mmol/mol;;mmol/L;;pmol/L;
in;;;lb;;in;;;;;µkat/L;;µkat/L;;mg/dL;;%;;;;;
